EAN,NAME,PRICE
3250390022770,Saint Eloi - Pommes allumettes,"1,99"
3250390022817,Saint Eloi - Pommes noisettes,"1,89"
3250390020745,Jean Rozé - Steak haché pur bœuf 15% MG,"9,68"
3250390309109,Jean Rozé - Viande hachée pur bœuf à cuisiner 15% MG,"4,68"
3250391414956,Jean Rozé - Steak haché façon bouchère 15% MG,"6,74"
3250390021568,Odyssée - Bâtonnets panés de colin d'Alaska,"2,37"
3250391171866,Odyssée - Pavés de saumon Atlantique,"11,14"
3250390618935,Adélie - Glaces vanille nougatine,"2,14"
3250390600671,Adélie - Crème glacée vanille de Madagascar,"1,51"
3250390695240,Adélie - Colosse - Glace vanille amandes,"1,86"
3250391518319,Chabrior - Croissants pur beurre,"3,60"
3250390281535,Chabrior - Biscottes nature,"2,30"
3250390145615,Chabrior - Biscottes 6 céréales,"1,19"
3250390819455,Chabrior - Petits pains grillés blé complet,"1,82"
3250390213963,Chabrior - Petits pains grillés goût brioché,"1,44"
3250390114178,Ivoria - Pâte à tartiner aux noisettes,"3,15"
3250390105213,Paquito - Confiture extra abricots,"1,13"
3250390105220,Paquito - Confiture extra de fraises,"0,99"
3250390214694,Chabrior - Pain Grand Mie nature,"1,06"
3250391588749,Chabrior - Brioche tressée à la main aux œufs frais,"2,17"
3250391386888,Chabrior - Mini gâches pur beurre,"2,19"
3250390112624,Chabrior - Cookies chocolat & pépites de chocolat,"0,85"
3250391640829,Chabrior - Biscuit SabliChoc cœur fondant chocolat,"1,19"
3250391462063,Chabrior - Biscuits Goûter Crok fourrés ronds chocolat,"1,79"
3250391118762,Chabrior - Assortiment de biscuits aux 3 chocolats belges,"3,46"
3250392804800,Chabrior - Speculoos,"1,56"
3250391704026,Itinéraire de nos Régions - Galettes bretonnes spécialité de Pont-Aven,"1,76"
3250392366629,Chabrior - Biscuits palets bretons pur beurre,"1,59"
3250391077236,Chabrior - Cuillers pâtissiers,"2,16"
3250390857426,Chabrior - Cake aux fruits,"1,48"
3250390751632,Ivoria - Chocolat au lait noisettes entières,"1,54"
3250390751656,Ivoria - Chocolat noir noisettes entières,"1,37"
3250391422715,Les Créations - L'Intense chocolat noir 85%,"0,98"
3250391737284,Ivoria Bio - Chocolat noir Dégustation 74% cacao BIO,"1,05"
3250391460243,Chabrior - Gâteau au fromage blanc,"2,53"
3250391953493,Ivoria - Chocolat au lait Dessert,"1,32"
3250391953523,Ivoria - Chocolat blanc Dessert,"1,51"
3250392777081,Planteur des Tropiques - Dosettes de café compatibles Senseo moulu Classic,"3,61"
3250390101031,Planteur des Tropiques - Café moulu Régal force et tradition,"1,15"
3250390517191,Planteur des Tropiques - Café moulu Colombie,"2,93"
3250390102342,Planteur des Tropiques - Café grains qualité or,"12,55"
3250391200351,Cotterley - Thé vert menthe,"0,80"
3250390004356,Cotterley - Infusion camomille Matricaire,"0,95"
3250392711726,Cotterley - Infusion verveine,"0,93"
3250391306923,Cotterley - Infusion saveur fruits rouges,"0,94"
3250390115779,Cotterley - Infusion réglisse menthe,"0,92"
3250390148920,Chabrior - Levure chimique,"0,26"
3250390103349,Chabrior - Sucre vanillé,"0,80"
3250390100416,Chabrior - Amandes en poudre,"1,49"
3250390000266,Chabrior - Farine de blé spéciale cuisine et pâtisserie,"0,85"
3250391223466,Elodie - Bonbons Marshmallow vanille,"1,03"
3250392806958,Chabrior - Gaufres Liégeoises nappage chocolat belge,"2,57"
3250391704088,Chabrior - Madeleines coquilles,"2,25"
3250392806989,Chabrior - Gaufres Liégeoises aux perles de sucre,"1,72"
3250390139829,Chabrior - Quatre-quarts pur beurre,"4,14"
3250390011903,Chabrior - Madeleines,"1,65"
3250392135508,Chabrior - Brownie choco pépites,"1,66"
3250392051099,Paquito - Fruits du verger pêche poire pomme sans sucres ajoutés,"2,49"
3250391478248,Chabrior - Pain d'épices au miel,"1,55"
3250390107552,Paquito - Cocktail 4 fruits,"2,02"
